time_index,card.nic.pps.avg.r
1605039960000.0,439790
1605040020000.0,378671
1605040080000.0,295381
1605040140000.0,274590
1605040200000.0,217371
1605040260000.0,226767
1605040320000.0,201738
1605040380000.0,266299
1605040440000.0,281407
1605040500000.0,253236
1605040560000.0,274839
1605040620000.0,274158
1605040680000.0,283851
1605040740000.0,256071
1605040800000.0,279486
1605040860000.0,231282
1605040920000.0,250363
1605040980000.0,226831
1605041100000.0,194552
1605041160000.0,228020
1605041220000.0,220037
1605041280000.0,238246
1605041340000.0,284055
1605041400000.0,206394
1605041460000.0,253622
1605041520000.0,197204
1605041580000.0,164563
1605041640000.0,146081
1605041700000.0,227142
1605041760000.0,287812
1605041820000.0,291696
1605041880000.0,389413
1605041940000.0,346856
1605042000000.0,327861
1605042060000.0,298354
1605042120000.0,292349
1605042180000.0,322207
1605042240000.0,267594
1605042300000.0,221161
1605042360000.0,250520
1605042420000.0,248670
1605042480000.0,281002
1605042540000.0,262785
1605042600000.0,198556
1605042660000.0,179712
1605042720000.0,173133
1605042780000.0,210432
1605042840000.0,228084
1605042900000.0,242570
1605042960000.0,197758
1605043020000.0,206233
1605043080000.0,242396
1605043140000.0,214654
1605043200000.0,209610
1605043260000.0,261660
1605043320000.0,191972
1605043380000.0,243135
1605043440000.0,240587
1605043500000.0,200751
1605043560000.0,191205
1605043620000.0,187774
1605043680000.0,203673
1605043740000.0,254367
1605043800000.0,294612
1605043860000.0,283940
1605043920000.0,260192
1605043980000.0,335188
1605044040000.0,361179
1605044100000.0,340011
1605044160000.0,279895
1605044220000.0,284184
1605044280000.0,275513
1605044340000.0,322525
1605044400000.0,305076
1605044460000.0,333435
1605044520000.0,356538
1605044580000.0,328357
1605044640000.0,247513
1605044700000.0,261469
1605044760000.0,280281
1605044820000.0,289733
1605044880000.0,339268
1605044940000.0,340714
1605045000000.0,301200
1605045060000.0,319085
1605045120000.0,306788
1605045180000.0,265338
1605045240000.0,361126
1605045300000.0,406894
1605045360000.0,341943
1605045420000.0,296554
1605045480000.0,349940
1605045540000.0,379928
1605045600000.0,383320
1605045660000.0,332540
1605045720000.0,349956
1605045780000.0,393157
1605045840000.0,353694
1605045900000.0,364194
1605045960000.0,376393
1605046020000.0,378236
1605046080000.0,432622
1605046140000.0,408797
1605046200000.0,401382
1605046260000.0,464908
1605046320000.0,524401
1605046380000.0,556476
1605046440000.0,526236
1605046500000.0,498358
1605046560000.0,409400
1605046620000.0,435394
1605046680000.0,434750
1605046740000.0,462186
1605046800000.0,367997
1605046860000.0,353492
1605046920000.0,364413
1605046980000.0,400035
1605047040000.0,441258
1605047100000.0,438367
1605047160000.0,537448
1605047220000.0,624772
1605047280000.0,613738
1605047340000.0,567101
1605047400000.0,576441
1605047460000.0,672795
1605047520000.0,559521
1605047580000.0,543433
1605047640000.0,441727
1605047700000.0,425981
1605047760000.0,396289
1605047820000.0,410926
1605047880000.0,487098
1605047940000.0,524041
1605048000000.0,460296
1605048060000.0,533761
1605048120000.0,561690
1605048180000.0,516559
1605048240000.0,529343
1605048300000.0,596633
1605048360000.0,580574
1605048420000.0,462953
1605048480000.0,525330
1605048540000.0,411554
1605048600000.0,409184
1605048660000.0,439000
1605048720000.0,467488
1605048780000.0,453862
1605048840000.0,506077
1605048900000.0,548658
1605048960000.0,536191
1605049020000.0,458722
1605049080000.0,509951
1605049140000.0,448395
1605049200000.0,597891
1605049260000.0,643729
1605049320000.0,648462
1605049380000.0,567982
1605049440000.0,561058
1605049500000.0,627154
1605049560000.0,702674
1605049620000.0,636885
1605049680000.0,605512
1605049740000.0,560467
1605049800000.0,548149
1605049860000.0,629688
1605049920000.0,674201
1605049980000.0,634827
1605050040000.0,702572
1605050100000.0,671678
1605050160000.0,665121
1605050220000.0,784686
1605050280000.0,661454
1605050340000.0,698585
1605050400000.0,742366
1605050460000.0,816222
1605050520000.0,737299
1605050580000.0,718123
1605050640000.0,815162
1605050700000.0,814647
1605050760000.0,792633
1605050820000.0,744727
1605050880000.0,813499
1605050940000.0,914280
1605051000000.0,793547
1605051060000.0,793041
1605051120000.0,751502
1605051180000.0,825790
1605051240000.0,764482
1605051300000.0,734089
1605051360000.0,820569
1605051420000.0,908816
1605051480000.0,840135
1605051540000.0,877208
1605051600000.0,834418
1605051660000.0,767449
1605051720000.0,796941
1605051780000.0,857866
1605051840000.0,811215
1605051900000.0,909158
1605051960000.0,839296
1605052020000.0,823250
1605052080000.0,644423
1605052140000.0,723324
1605052200000.0,723863
1605052260000.0,708339
1605052320000.0,768873
1605052380000.0,824186
1605052440000.0,942864
1605052500000.0,847292
1605052560000.0,792644
1605052620000.0,681383
1605052680000.0,659369
1605052740000.0,679139
1605052800000.0,774676
1605052860000.0,784626
1605052920000.0,794656
1605052980000.0,786612
1605053040000.0,878222
1605053100000.0,787432
1605053160000.0,778343
1605053220000.0,697236
1605053280000.0,673909
1605053340000.0,800997
1605053400000.0,842830
1605053460000.0,812048
1605053520000.0,794102
1605053580000.0,826159
1605053640000.0,765954
